job,salary,where,time,catagory,num,createtime,companyname,properties,scale,industry
视觉设计师-2021届校招,年薪9-12w,广州,应届,视觉设计师,不限,昨天发布,诗悦,私营·民营企业,100-499人,游戏开发
热值测试工程师,年薪6-12w,郑州,应届,石油/天然气技术人员,3人,昨天发布,河南丰博自动化有限公司,私营·民营企业,100-499人,电气机械和器材
前台,年薪4-6w,东莞,应届,企业前台/总机/接待,1人,昨天发布,东莞高绮印刷有限公司,私营·民营企业,500-999人,印刷/包装/造纸
健康饮品华东大区销售培训生,年薪7-10w,阜阳,应届,销售代表,5人,昨天发布,伊利实业,国内上市公司,10000人以上,食品/饮料/烟酒/日化
PHP开发工程师（2021届）,年薪7-14w,武汉,应届,PHP,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
模拟电路设计/应用工程师,年薪22-35w,上海,应届,模拟电路设计/应用工程师,1人,昨天发布,上海灵动微电子股份有限公司,私营·民营企业,100-499人,电子技术/半导体/集成电路
营销管培训-金彩生,年薪7-10w,南京,应届,房地产销售人员,10人,昨天发布,金茂苏皖企业管理(天津)有限公司,国有企业,1000-2000人,房地产开发/建筑/建材/工程
财务专员（2021届）,年薪6-12w,广州,应届,财务助理,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
销售代表,年薪12-18w,北京,应届,销售代表,3人,昨天发布,科朗叉车,外商独资·外企办事处,100-499人,机械制造/机电/重工
商务专员（2021届）,年薪6-10w,武汉,应届,商务专员/助理,不限,昨天发布,速游,私营·民营企业,100-499人,游戏开发
机械结构工程师,年薪12-18w,厦门-思明区,应届,机械结构工程师,5人,昨天发布,厦门科牧智能技术有限公司,私营·民营企业,1000-2000人,机械制造/机电/重工
外贸助理,年薪5-6w,上海,应届,外贸专员/助理,1人,昨天发布,上海万弘国际贸易有限公司,私营·民营企业,50-99人,贸易/进出口
金融投资助理,面议,苏州,应届,其他保险职位,5人,昨天发布,中国人寿保险股份有限公司苏州市分公司第二营销服务部,国有企业,1000-2000人,保险
项目助理实习生（工作地：苏州）,年薪5-7w,苏州-吴中区,应届,项目专员/助理,2人,昨天发布,励维营销策划(上海)有限公司,私营·民营企业,100-499人,广告/公关/市场推广/会展
税务管培生（武汉-2021届）,年薪7-9w,武汉-江岸区,应届,财务顾问,5人,昨天发布,谷川联行,私营·民营企业,100-499人,互联网/移动互联网/电子商务
